index,timestamp,seq,ms,motor_angle_deg,motor_speedCH0_volts,CH2_volts,CH3_volts,ellipse_angle_deg,ellipse_area_px2,frame_name,ch2_dv/dt,ch3_dv/dt,ch2_flag,ch3_flag
1760720824.6617084,260648,2606992,0.0,1.0,-3.072,0.001125,0.000375,,,,-0.4875,-0.075,False,False
1760720824.6643438,260649,2607002,0.0,1.0,-3.072,0.000375,0.0,,,,-0.075,-0.0375,False,False
1760720824.6658056,260650,2607012,0.0,1.0,-3.072,0.000375,0.000375,,,,0.0,0.0375,False,False
1760720824.666079,260651,2607022,0.0,1.0,-3.072,-0.000375,0.00075,,,,-0.075,0.0375,False,False
1760720824.6663582,260652,2607032,0.0,1.0,-3.072,0.003,0.006,,,,0.3375,0.525,False,False
1760720824.6666224,260653,2607042,0.0,1.0,-3.072,0.000375,0.003,,,,-0.2625,-0.3,False,False
1760720824.666884,260654,2607052,0.0,1.0,-3.072,0.006,0.0,,,,0.5625,-0.3,False,False
1760720824.667165,260655,2607062,0.0,1.0,-3.072,0.004875,-0.00075,,,,-0.1125,-0.075,False,False
1760720824.667435,260656,2607072,0.0,1.0,-3.072,0.005625,-0.00225,,,,0.075,-0.15,False,False
1760720824.6676972,260657,2607082,0.0,1.0,-3.072,0.004125,0.0,,,,-0.15,0.225,False,False
1760720824.6679611,260658,2607092,0.0,1.0,-3.072,0.00225,0.0045,,,,-0.1875,0.45,False,False
1760720824.668233,260659,2607102,0.0,1.0,-3.072,0.001125,0.0,,,,-0.1125,-0.45,False,False
1760720824.668547,260660,2607112,0.0,1.0,-3.072,-0.000375,0.003,,,,-0.15,0.3,False,False
1760720824.6688166,260661,2607122,0.0,1.0,-3.072,0.006375,0.0,,,,0.675,-0.3,False,False
1760720824.6690736,260662,2607132,0.0,1.0,-3.072,0.002625,0.0,,,,-0.375,0.0,False,False
1760720824.6702082,260663,2607142,0.0,1.0,-3.072,0.000375,-0.000375,,,,-0.225,-0.0375,False,False
1760720824.6709714,260664,2607152,0.0,1.0,-3.072,0.001125,0.0045,,,,0.075,0.4875,False,False
1760720824.671201,260665,2607162,0.0,1.0,-3.072,0.001125,0.00375,,,,0.0,-0.075,False,False
1760720824.6713684,260666,2607172,0.0,1.0,-3.072,-0.000375,0.000375,,,,-0.15,-0.3375,False,False
1760720824.6715324,260667,2607182,0.0,1.0,-3.072,0.00225,-0.003375,,,,0.2625,-0.375,False,False
1760720824.671694,260668,2607192,0.0,1.0,-3.072,-0.000375,0.0,,,,-0.2625,0.3375,False,False
1760720824.6718569,260669,2607202,0.0,1.0,-3.072,0.00525,0.001875,,,,0.5625,0.1875,False,False
1760720824.6720192,260670,2607212,0.0,1.0,-3.072,0.0,0.00075,,,,-0.525,-0.1125,False,False
1760720824.6721938,260671,2607222,0.0,1.0,-3.072,0.003,0.002625,,,,0.3,0.1875,False,False
1760720824.672357,260672,2607232,0.0,1.0,-3.072,0.00675,-0.006375,,,,0.375,-0.9,False,False
1760720824.6725178,260673,2607242,0.0,1.0,-3.072,0.001125,0.00225,,,,-0.5625,0.8625,False,False
1760720824.672679,260674,2607252,0.0,1.0,-3.072,-0.001125,0.002625,,,,-0.225,0.0375,False,False
1760720824.6728406,260675,2607262,0.0,1.0,-3.072,0.0045,-0.001125,,,,0.5625,-0.375,False,False
1760720824.6730008,260676,2607272,0.0,1.0,-3.072,0.0045,0.00075,,,,0.0,0.1875,False,False
1760720824.6731818,260677,2607282,0.0,1.0,-3.072,0.00675,-0.000375,,,,0.225,-0.1125,False,False
1760720824.6733384,260678,2607292,0.0,1.0,-3.072,0.000375,0.001125,,,,-0.6375,0.15,False,False
1760720824.6734943,260679,2607302,0.0,1.0,-3.072,0.0015,0.00075,,,,0.1125,-0.0375,False,False
1760720824.673651,260680,2607312,0.0,1.0,-3.072,0.0045,-0.007875,,,,0.3,-0.8625,False,False
